                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.99922,                0.72298,                 1.0294,                0.91611,                0.99786,                0.95571,                0.67216,                 1.1057,                0.57236,                 1.0426,             0.00015432,             0.00015432,             0.00015432
                     84,                 0.9645,                0.68148,                 1.0268,                0.91643,                0.99859,                0.95695,                0.68269,                 1.0868,                0.56001,                 1.0361,             0.00014799,             0.00014799,             0.00014799
                     85,                0.96417,                0.62374,                 1.0242,                0.91643,                0.99859,                0.95695,                0.68269,                 1.0868,                0.56001,                 1.0361,             0.00014146,             0.00014146,             0.00014146
                     86,                0.93777,                0.63357,                 1.0031,                0.91643,                0.99859,                0.95695,                0.68269,                 1.0868,                0.56001,                 1.0361,             0.00013473,             0.00013473,             0.00013473
                     87,                0.99559,                0.65529,                 1.0266,                0.91643,                0.99859,                0.95695,                0.68269,                 1.0868,                0.56001,                 1.0361,              0.0001278,              0.0001278,              0.0001278
                     88,                0.96287,                0.62642,                 1.0043,                 0.9087,                 0.9902,                0.98318,                0.70248,                 1.0716,                0.55191,                 1.0327,             0.00012067,             0.00012067,             0.00012067
                     89,                0.99235,                0.65527,                 1.0085,                 0.9087,                 0.9902,                0.98318,                0.70248,                 1.0716,                0.55191,                 1.0327,             0.00011334,             0.00011334,             0.00011334
                     90,                0.99442,                0.60318,                 1.0283,                 0.9087,                 0.9902,                0.98318,                0.70248,                 1.0716,                0.55191,                 1.0327,             0.00010582,             0.00010582,             0.00010582
                     91,                0.97754,                0.65751,                 1.0705,                 0.9087,                 0.9902,                0.98318,                0.70248,                 1.0716,                0.55191,                 1.0327,               9.81e-05,               9.81e-05,               9.81e-05
                     92,                0.96578,                0.63853,                 1.0177,                0.91113,                      1,                 0.9838,                0.72228,                 1.0504,                0.54346,                 1.0271,             9.0181e-05,             9.0181e-05,             9.0181e-05
                     93,                 0.9641,                0.63984,                 1.0695,                0.91113,                      1,                 0.9838,                0.72228,                 1.0504,                0.54346,                 1.0271,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     94,                0.95029,                0.63666,                 1.0525,                0.91113,                      1,                 0.9838,                0.72228,                 1.0504,                0.54346,                 1.0271,             7.3749e-05,             7.3749e-05,             7.3749e-05
                     95,                0.96296,                0.61698,                 1.0237,                0.91113,                      1,                 0.9838,                0.72228,                 1.0504,                0.54346,                 1.0271,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     96,                0.96551,                0.63668,                0.99306,                0.91221,                      1,                 0.9838,                0.72858,                 1.0362,                0.53594,                 1.0223,             5.6525e-05,             5.6525e-05,             5.6525e-05
                     97,                0.96141,                0.63753,                 1.0393,                0.91221,                      1,                 0.9838,                0.72858,                 1.0362,                0.53594,                 1.0223,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     98,                 0.9548,                0.60329,                 1.0155,                0.91221,                      1,                 0.9838,                0.72858,                 1.0362,                0.53594,                 1.0223,             3.8509e-05,             3.8509e-05,             3.8509e-05
                     99,                0.94856,                0.63298,                 1.0099,                0.91221,                      1,                 0.9838,                0.72858,                 1.0362,                0.53594,                 1.0223,             2.9204e-05,             2.9204e-05,             2.9204e-05
                    100,                0.96924,                0.65453,                 1.0373,                0.91194,                      1,                0.96683,                0.71485,                 1.0276,                0.53035,                 1.0185,             1.9701e-05,             1.9701e-05,             1.9701e-05
